Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
27,153021.0,0.0,2.0,5.0,27.999,0,3,0,2,0,1,1,1,0,0
27,97900.0,29984.0,5.0,5.0,27.706,2,1,0,5,0,0,1,1,1,0
27,124995.0,34218.0,5.0,5.0,27.999,2,3,0,1,0,0,1,1,1,0
27,63900.0,97653.0,5.0,5.0,27.999,4,1,0,1,0,0,1,1,3,0
27,78950.0,34105.0,5.0,5.0,27.509,6,2,0,0,0,0,1,2,0,0
27,69900.0,16877.0,5.0,3.0,27.885,2,0,0,1,0,0,1,2,0,0
20,74440.0,0.0,5.0,5.0,20.356,0,0,0,0,0,1,2,1,0,1
20,62885.0,6000.0,5.0,5.0,20.401,0,0,0,0,0,3,1,1,1,0
20,64900.0,67397.0,5.0,4.0,20.356,6,2,0,0,0,0,2,2,3,1
20,73900.0,10383.0,2.0,2.0,20.999,11,7,0,0,0,0,1,2,5,4
20,73490.0,8824.0,2.0,3.0,20.999,9,0,0,0,0,0,2,2,0,4
20,71900.0,9400.0,2.0,2.0,20.999,10,0,0,0,0,0,2,1,2,4
20,68890.0,13500.0,4.0,4.0,20.356,2,0,0,0,0,0,2,1,12,1
20,74900.0,34895.0,2.0,2.0,20.999,8,1,2,0,0,0,1,1,1,4
20,76900.0,15750.0,4.0,4.0,20.356,4,1,0,0,0,0,2,2,0,1
20,74975.0,150.0,5.0,5.0,20.401,3,0,0,2,0,2,1,1,0,0
20,74900.0,34895.0,2.0,2.0,20.999,8,1,0,0,0,0,2,1,1,4
16,63999.0,37000.0,5.0,5.0,16.379,5,3,0,0,0,0,1,1,6,3
16,65000.0,67178.0,5.0,4.0,16.424,8,1,0,0,0,0,1,1,0,1
16,134990.0,11702.0,4.0,5.0,16.999,1,3,0,0,0,0,1,0,1,1
16,79740.0,9329.0,5.0,5.0,16.423,2,0,0,0,0,0,1,1,0,4
16,74990.0,68000.0,5.0,4.0,16.506,6,0,0,1,0,0,1,1,0,0
16,74995.0,883.0,5.0,5.0,16.506,1,3,0,3,0,0,1,1,2,0
16,73500.0,27500.0,5.0,5.0,16.332,2,2,0,0,0,0,1,1,1,2
16,63870.0,7857.0,5.0,4.0,16.391,2,0,0,0,0,0,1,1,0,0
15,64990.0,15000.0,4.0,2.0,15.391,1,3,0,0,0,0,0,1,1,4
15,64300.0,30000.0,5.0,4.0,15.164,1,3,0,2,0,0,2,1,0,1
15,69995.0,29001.0,4.0,2.0,15.469,2,3,0,0,0,0,2,1,0,4
15,144625.0,15993.0,5.0,5.0,15.999,1,0,0,0,0,4,1,1,1,4
19,86900.0,113000.0,5.0,4.0,19.667,11,0,0,0,0,0,1,1,2,1
19,89900.0,89600.0,5.0,4.0,19.667,8,0,0,0,0,0,1,1,0,1
19,99900.0,89000.0,5.0,4.0,19.484,6,0,0,0,0,0,1,1,2,1
19,64990.0,109000.0,5.0,5.0,19.312,11,0,0,1,0,0,1,1,0,0
19,67900.0,44380.0,5.0,4.0,19.327,7,0,0,0,0,0,1,1,0,1
19,204900.0,29000.0,5.0,4.0,19.999,2,0,0,0,0,0,1,1,0,1
19,234999.0,6200.0,5.0,5.0,19.667,2,0,0,2,0,0,1,1,0,1
19,96630.0,3000.0,4.0,2.0,19.468,1,0,0,0,0,0,1,4,1,6
19,164890.0,27000.0,5.0,4.0,19.803,5,0,0,0,0,0,1,1,6,0
19,63850.0,58500.0,4.0,2.0,19.27,6,0,0,0,0,0,2,2,1,4
23,72850.0,64400.0,2.0,2.0,23.999,54,0,1,0,0,5,1,1,8,6
23,89900.0,9400.0,5.0,5.0,23.458,1,3,0,0,0,0,1,1,6,0
23,69950.0,7450.0,2.0,2.0,23.773,5,0,0,0,0,0,2,1,0,6
23,73550.0,31900.0,2.0,4.0,23.773,5,0,0,0,0,0,1,0,6,4
23,84900.0,36800.0,5.0,5.0,23.458,2,1,0,0,0,4,1,2,6,0
23,63890.0,19890.0,2.0,2.0,23.773,5,0,0,0,0,0,1,1,0,6
23,66990.0,27505.0,5.0,5.0,23.458,1,3,0,2,0,0,1,1,1,0
23,69990.0,5990.0,2.0,5.0,23.773,1,3,0,0,0,3,1,1,0,6
23,62990.0,17301.0,5.0,5.0,23.458,1,3,0,2,0,0,1,1,1,0
23,65900.0,16036.0,5.0,5.0,23.458,5,3,0,0,0,0,1,1,1,0
23,99800.0,0.0,5.0,5.0,23.458,0,3,0,0,0,1,1,1,0,0
23,69950.0,7107.0,5.0,3.0,23.773,7,3,0,0,0,0,1,1,2,6
23,64900.0,64066.0,2.0,2.0,23.773,4,0,0,0,0,0,1,3,3,4
23,89890.0,10.0,5.0,5.0,23.458,0,4,0,2,0,1,1,1,0,0
23,64995.0,42904.0,5.0,5.0,23.458,4,0,0,0,0,0,1,2,0,0
23,64890.0,7500.0,5.0,5.0,23.458,1,4,0,2,0,0,1,1,2,0
23,64900.0,11240.0,5.0,5.0,23.458,3,3,0,2,0,0,1,1,0,0
23,62900.0,7823.0,2.0,2.0,23.773,5,0,0,0,0,0,2,1,3,6
23,110000.0,2460.0,2.0,2.0,23.773,1,1,0,0,0,0,1,1,0,4
23,98900.0,3500.0,5.0,5.0,23.458,1,0,0,0,0,3,1,1,7,0
23,209902.0,369.0,2.0,4.0,23.358,6,0,0,0,0,0,1,4,2,1
23,99000.0,29810.0,2.0,2.0,23.773,3,1,0,0,0,0,1,1,12,6
23,69900.0,61150.0,4.0,2.0,23.999,59,0,1,0,0,5,0,1,0,4
23,149819.0,200.0,2.0,2.0,23.773,0,0,0,0,0,1,1,1,6,4
26,64875.0,54670.0,4.0,2.0,26.439,9,2,0,0,0,0,2,1,3,4
26,89950.0,10902.0,5.0,4.0,26.514,3,3,0,2,0,0,1,1,1,1
26,89800.0,12500.0,4.0,4.0,26.513,1,0,0,0,0,0,2,1,2,1
26,172900.0,7900.0,7.0,5.0,26.999,1,0,0,0,0,0,1,1,6,0
26,62990.0,9690.0,5.0,5.0,26.353,2,3,0,2,0,0,1,1,3,0
26,64890.0,9.0,5.0,5.0,26.37,1,0,0,2,0,2,1,1,0,0
26,103990.0,4500.0,4.0,2.0,26.504,1,0,0,0,0,2,1,1,1,6
26,169800.0,9600.0,7.0,5.0,26.999,1,0,0,0,0,0,1,1,2,0
26,69000.0,53000.0,4.0,2.0,26.439,9,5,0,0,0,0,2,0,2,4
26,162900.0,10.0,6.0,5.0,26.731,0,5,0,2,0,2,1,0,0,5
26,73450.0,21800.0,5.0,5.0,26.466,2,0,0,2,0,0,1,1,2,0
26,73990.0,15990.0,5.0,5.0,26.466,2,0,0,2,0,0,1,1,3,1
26,71900.0,5.0,5.0,5.0,26.37,1,5,0,2,0,2,1,0,3,0
26,61900.0,0.0,5.0,5.0,26.292,1,1,0,2,0,2,1,1,2,0
26,118000.0,8000.0,6.0,5.0,26.731,1,5,0,2,0,0,1,0,1,5
26,118000.0,8000.0,6.0,5.0,26.731,1,5,0,2,0,0,1,0,1,5
26,69990.0,0.0,5.0,5.0,26.292,0,3,0,2,0,1,1,1,0,0
26,118000.0,8000.0,6.0,5.0,26.731,1,5,0,2,0,0,1,0,1,5
26,64990.0,66200.0,4.0,2.0,26.504,8,6,0,7,0,0,2,4,1,4
26,95900.0,2500.0,4.0,2.0,26.504,2,6,0,0,0,0,2,1,6,6
