Brand_c,Price,Kilometers,Seats,Doors,Brand_Model_code,Car_Age,Country_c,Gearbox_c,Fuel_c,Seller_c,Type_c,Drivetrain_c,Upholstery_c,Color_c,Body_Type_c
0,7700.0,168000.0,4.0,2.0,0.155,16,0,1,1,0,0,0,0,1,0
0,9900.0,111625.0,5.0,5.0,0.224,7,1,1,1,0,0,0,0,2,5
0,5000.0,290000.0,5.0,5.0,0.224,10,1,1,1,0,0,0,0,2,5
0,21849.0,9775.0,4.0,3.0,0.401,2,3,0,3,0,0,0,0,1,2
0,9500.0,134588.0,5.0,5.0,0.293,7,1,1,4,0,0,0,0,0,1
0,6900.0,89700.0,5.0,5.0,0.119,9,1,1,0,0,0,0,0,1,1
0,12499.0,115626.0,5.0,5.0,0.354,4,1,1,1,0,0,0,0,3,0
0,15490.0,48317.0,5.0,4.0,0.354,7,0,0,0,0,0,0,0,8,0
0,7800.0,70096.0,4.0,3.0,0.199,11,1,0,0,0,0,0,0,1,2
0,10890.0,89540.0,7.0,4.0,0.224,7,0,1,0,0,0,0,0,3,5
0,23950.0,100.0,5.0,5.0,0.571,1,0,0,0,0,0,0,0,0,0
0,6100.0,208910.0,2.0,4.0,0.344,9,1,1,1,0,0,0,0,2,5
0,6455.0,99000.0,4.0,3.0,0.199,13,0,1,0,0,0,0,2,1,1
0,8445.0,113208.0,4.0,3.0,0.199,8,2,1,0,0,0,0,0,3,2
0,17590.0,0.0,5.0,4.0,0.293,0,1,1,1,0,1,0,3,1,1
0,4999.0,117000.0,5.0,5.0,0.181,15,1,1,6,0,0,0,0,12,2
0,8450.0,81850.0,4.0,3.0,0.199,7,2,1,0,0,0,0,0,0,2
0,4100.0,160000.0,5.0,5.0,0.064,16,1,0,1,0,0,0,0,0,1
0,6500.0,115000.0,4.0,5.0,0.181,12,1,1,0,0,0,0,2,2,1
0,7745.0,73781.0,4.0,3.0,0.199,12,2,1,0,0,0,0,1,1,2
0,6945.0,50706.0,4.0,5.0,0.181,8,2,1,6,0,0,0,0,2,2
0,11500.0,112000.0,5.0,5.0,0.354,6,1,1,1,0,0,0,0,3,1
0,5800.0,177000.0,4.0,5.0,0.181,10,1,1,6,0,0,0,0,8,1
